,sign,category,text
94,cancer,general,Tomorrow’s full moon in your sign will ramp up your emotions to such an extent that it may be impossible to control your feelings. But if what is going on in the world affects you this deeply why would you want to control them? Let it all out!
95,leo,general,"Be wary if someone comes to you with a proposal they say can make you a fortune. It may indeed be a money-maker but chances are they will be making the money while you are the one who is handing it out. You’re not that gullible, are you?"
96,virgo,general,"You need to believe there is a purpose to your existence and what occurs between now and the end of the year should clue you in to what that might be. Keep your eyes and ears open but, more importantly, listen to what your heart is saying."
97,libra,general,Someone in a position of authority could give you a hard time over the next few days but if you stay calm and refuse to get angry about it there is not much they can do to actually harm you. Rise above petty conflicts on the work front.
98,scorpio,general,Take care if you are on the move over the next 24 hours. Your travels may be a lot of fun but there is a danger that you could take a wrong turning and end up some place that isn’t safe. Always make sure you know where you are.
99,sagittarius,general,"Deal with challenges as and when they arise and don’t waste your time trying to look too far ahead. Whatever difficult events you may be confronted with the fact is you have been through many similar situations, so use that experience to get past them."
100,capricorn,general,If a relationship has been going through a tough time of late the approaching full moon will help you do something about it. That does not mean the differences between you will be resolved but it will certainly be easier to find some common ground.
101,aquarius,general,Because tomorrow’s full moon occurs in the well-being area of your chart you must not force yourself to do things that could deplete your energy too much. You may not want to say “no” to friends and family members but on this occasion you must.
102,pisces,general,Something of a creative nature may be going well for you but you still have this nagging idea that it could all fall apart at any moment. Don’t worry. Once the influence of the full moon fades at the end of the week your doubts will completely disappear.
103,capricorn,birthday,"Don’t be afraid to use your imagination over the coming year, both in your personal affairs and in your career. Your birthday chart promises that the visions you allow yourself to have now will become your reality in the very near future. Believe in yourself."
104,aries,general,"Don’t get angry with someone who fails at the task you have set them. Not everyone can be as committed to the pursuit of excellence as you are, so make allowances and don’t expect as much of them as you expect of yourself. They’ll do better next time."
105,taurus,general,Get out into the world and enjoy yourself today. Others may say you should be focusing on a serious situation but as far as you are concerned it can wait. This is a time for having fun with people who share your positive outlook on life.
106,gemini,general,You need to make sure that at least some of what you have given other people of late comes back to you before the end of the year. It’s unlikely that it will all be returned but if you don’t make a fuss you may get nothing at all.
107,cancer,general,Today’s full moon warns you may be inclined to start something new without having planned how you are going to get from where you are now to where you most want to be. Desire alone will not be enough – you must think ahead if you want to succeed.
108,leo,general,It is of the utmost importance that you limit yourself to those two or three tasks that are of most importance to you. The more projects you have on the go the less likely it is you will get the kind of return on your investment that you desire.
109,virgo,general,"Friends and loved ones will be extremely demanding over the next 24 hours, so you must be clear in your mind what limits you will have to impose so they don’t exhaust both your money and your energy. Above all, don’t be afraid to say “no”."
110,libra,general,"Because today’s full moon cuts across the career and domestic angles of your chart you may have to make a tough decision about how best to divide your time between your work and your family. If in doubt, spend more time with the people you love."
111,scorpio,general,"The more others criticize your efforts the more certain you can be that you are doing the right thing and must keep doing it into the future. They are only being negative because they fear your efforts could make them look bad – and they’re right, they will!"
112,sagittarius,general,The message of the stars today is that no matter how many things seem to be going wrong for you now you must not let your fears get the better of you. Later on you will look back and realize there was actually precious little to worry about.
113,capricorn,general,"The full moon in your opposite sign means you need to take the concerns of loved ones more seriously than you have done in recent weeks. It could be the case that they can see and sense things that you as yet cannot, so listen to what they say."
114,aquarius,general,"Follow your instincts today, even if it puts you on a collision course with employers and colleagues. You may be the sort of person who prefers to rely more on logic than feelings but this is one of those occasions when your feelings could be right!"
115,pisces,general,"Today’s full moon suggests you could be having second thoughts about an artistic activity you once had high hopes for. If you give up on it now though you are sure to regret it later on, so keep at it and keep believing a breakthrough will come."
116,capricorn,birthday,"You will be dealing with some powerful emotions this year, both your own and other people’s, and it is of the utmost importance that you stay calm and act as if you are not in the least bit concerned. Only by thinking clearly will you make the right decisions."
117,aries,general,"If you take what you are told at face value today you could end up looking silly, so question everything and don’t be afraid to let others know when you don’t believe them. What they say may sound convincing but that does not make it true."
118,taurus,general,Forced changes in your working routine may be a pain to deal with between now and the weekend but what choice do you have? The powers that be have decreed what is going to happen and all you can do is find ways to make it work for you.
119,gemini,general,"Mercury links with Mars in your opposite sign today, which suggests that someone you live, work or do business with is going to give you a hard time. The good news is that their bark is ten times worse than their bite, so don’t be intimidated."
120,cancer,general,If you can balance your intuitive powers with a large dose of common sense you should be able to get through the day unscathed. Stick to the facts in all situations and don’t ever be tempted to say what you think other people want to hear.
121,leo,general,"It’s not like you to let fear run away with you but the cosmic picture warns that once you start seeing bad guys in the shadows they will seem to be everywhere. No one is out to get you, so calm down and ignore what others are doing."
122,virgo,general,If a friend gets the idea that you no longer value their company they may decide to look elsewhere for the support and affection they need. Go out of your way over the next 24 hours to let them know you care – and make sure you mean it.
123,libra,general,Yesterday’s full moon in the career area of your chart made it clear that you need to exert yourself more if you are to reach the heights of success that you crave. Follow your passion wherever it takes you and never give less than 100 per cent.
124,scorpio,general,You know what it is you want to say but as communications planet Mercury is going through its retrograde phase the words may not come easy to you. No matter. As a master of body language you can still find ways to put your ideas across.
125,sagittarius,general,"Today’s Mars-Mercury link in your sign warns you need to be very careful before making claims or accusations that, if they turn out to be wrong, could come back at you in costly ways. Keep your suspicions to yourself, at least for now."
126,capricorn,general,"If you find it too easy to persuade others to support your ideas today you must stop, stand back from the situation and work out why they are suddenly being so agreeable. Could it be they are saying one thing while planning another? Yes, it could!"
127,aquarius,general,"Something that has been holding you back won’t be such an obstacle in your life over the next few days, and early in the new year it will cease to be a problem at all. Just be careful you don’t then replace one bad habit with another."
128,pisces,general,If you poke fun at someone in a position of power today they may seem to laugh with you but secretly they will be marking a big red cross against your name. They take themselves ultra seriously and you would be smart to take them seriously too.
129,capricorn,birthday,Cosmic activity in the most imaginative area of your birthday chart is favourable for all kinds of creative activities but don’t stick your head so far up in the air that you lose contact with the ground. The higher you fly the further there is to fall.
130,aries,general,"If friends and family members are content to sit around all day doing nothing that’s up to them but you are determined to make more of your life, starting today. You won’t have to search too long or too hard to find a new adventure. Go for it."
131,taurus,general,Something you have been trying to keep to yourself will become public knowledge today and when it does you must be honest about what it is and act as if you want everyone to know. It won’t be so embarrassing if you openly own it.
132,gemini,general,"As love planet Venus moves into the partnership area of your chart today you won’t lack for romantic opportunities. However, if you come on too strong you could scare away those of a more sensitive disposition, so stay in control of your physical and emotional desires."
133,cancer,general,"According to the planets you are worrying yourself sick about something that is not worth the time or the effort, so get over it and get on with your life. You are advised not to take anything too seriously today or over the weekend."
134,leo,general,"Venus and Mars in the most romantic area of your chart means affairs of the heart will be a lot of fun, but don’t get carried away and promise loved ones things you won’t be able to deliver. They don’t want the world from you – you are their world!"
135,virgo,general,Spend some quality time with your nearest and dearest today. You may be tempted to get out and about and show the world what you are capable of but in the long-term you will gain more by taking care of the people you are closest to emotionally.
136,libra,general,Cosmic activity in the most sociable area of your chart means you are in the mood for new creative experiences and you won’t have long to wait. A new romantic hook-up is a possibility too but don’t let it distract you from having fun with your friends.
137,scorpio,general,Nothing in life comes for free and if you keep that fact in mind today you won’t fall into the trap of expecting friends and relatives to satisfy your every need. The things you achieve for yourself are the things that make you a better and happier person.
138,sagittarius,general,"Venus, planet of harmony, joins Mars in your sign today, so even if you are the kind of Sag who likes to take life by the scruff of the neck and shake it into submission you can and you must find softer ways to realize your ambitions."
139,capricorn,general,"Once you have made up your mind about something you rarely change your point of view, but try not to be so inflexible today. If the powers that be want you to approach a difficult task from a different angle that is precisely what you must do."
140,aquarius,general,You may want to forgive a friend for yet another failure but you know you can’t go on giving them chance after chance. Let them know in no uncertain terms that the next foul-up will be their last. They’ve had more than enough warnings already.
141,pisces,general,If you go all out to impress employers and other important people today and over the weekend you could find yourself moving up in the world very soon. Your ability to blend purpose and persistence with real sensitivity marks you out from the crowd.
142,capricorn,birthday,"Don’t worry too much if your ideas seem at odds with the worldview of family and friends over the coming 12 months. There is no right way or wrong way of dealing with the challenges that life throws up, just the way that works best for you."
143,aries,general,"Have you been making the most of your talents? Whatever triumphs you enjoyed during the year now ending you would be the first to admit you could have done more – so make your plans, make them big and then amaze the world with your hunger for success."
144,taurus,general,"You may not be able to work up much enthusiasm for what you have to work on this weekend but if you do it to the best of your abilities the rewards that come your way early in 2024 will please you no end, so make the effort."
145,gemini,general,"The message of the stars for the last weekend of the year is that you are allowed to relax – in fact the universe is demanding that you slow down and enjoy the “moments”. Take your foot off the gas and ease up a bit, at least for now."
146,cancer,general,"You can be quite vulnerable to criticism and a negative comment from a friend could send you into an emotional tailspin this weekend. That isn’t the best way to end the year, so toughen up, believe in yourself and ignore what other people say about you."
147,leo,general,You seem to have got it into your head that some of the people you work alongside have been plotting against you but that simply isn’t true. Just because they are competitive doesn’t mean they are out to get you. Maybe they look at you the same way.
148,virgo,general,"Stop trying to control each and every aspect of your life and allow events to guide you in the direction the universe wants you to go. Your life is unfolding according to the grand cosmic design, so why try so hard when you don’t have to?"
149,libra,general,"The softer, gentler side of your nature will be on show over the next 48 hours and you will assist those in need with no questions asked. Doing good things for other people will make you feel good too, not just about yourself but about life in general."
150,scorpio,general,As Jupiter ends its retrograde phase in the partnership area of your chart this weekend you will find it easier to trust people both at home and at work. If someone approaches you with a proposal you must hear them out. It could change your life.
151,sagittarius,general,"Keep routine tasks to a minimum this weekend because the more of an effort you make the less you are likely to accomplish. Instead, see out the year with family and friends and celebrate all the good times you had together in 2023."
152,capricorn,general,"You seem to be in an unusually forgiving mood at the moment, most likely because it’s the end of the year and you cannot be bothered to make a big deal of anything. Just don’t let your guard down so much that others might be tempted to cheat you."
153,aquarius,general,You will be remarkably open to alternative viewpoints this weekend – which isn’t like you at all – and one of those viewpoints could get you thinking in new and potentially profitable directions. It’s almost like you are seeing with a new pair of eyes.
154,pisces,general,"What happens this weekend will bring the old year to a satisfying close and set you up for an amazing start to 2024. Never doubt that the universe is on your side and never doubt that your life is, was and always will be on an upward curve."
155,capricorn,birthday,Take time out on your birthday to look back over the previous 12 months and assess how far you have come. You may be only one year older but you are wise beyond your years when it comes to understanding life and making the most of it.
156,aries,general,You may not be swayed much by money and material possessions but you will need to pay attention to what you own and earn during the early part of 2024. Keep an eye on your cash-flow situation because there is only so much you can afford to lose.
157,taurus,general,"If you enjoy what you are working on then you will inevitably do it well, but the planets warn if you are bored by everyday tasks your standards may slip below 100 per cent and that won’t do at all. Maybe it’s time to think about changing your job."
158,gemini,general,"You may be eager to show the world what you can do but if you are smart you will wait until your ruling planet Mercury ends its retrograde phase tomorrow before making your move. Better still, wait until the end of the week. There’s no rush."
159,cancer,general,You seem to be in one of those moods when you hear what you want to hear and see what you want to see while ignoring everything else. Hopefully that mood will pass soon because you will need to act quickly and decisively as 2024 gets underway.
160,leo,general,The message of the stars as the new year begins is that the more time you spend thinking and planning now the more successful you will be later on when opportunities to prove yourself start coming your way. Take a more long-term view of your ambitions.
161,virgo,general,"With Venus, planet of love, at odds with Saturn which is in the partnership area of your chart you would be wise to tread carefully when dealing with people whose egos are easily bruised. Not everyone is as candid as you, so make allowances for more sensitive souls."
162,libra,general,"You can at times be a bit too self-controlled for your own good and that could be a problem now as Venus, your ruler, squares up to Saturn. If someone hurts your feelings today you must let them know about it – it’s unlikely they are being deliberately rude."
163,scorpio,general,"The more you open up to those around you the more chances you will get to impress the kind of people who can help your star rise. Communication is a must as the new year begins, especially when dealing with employers and senior colleagues."
164,sagittarius,general,You have a tendency to make promises you then find difficult to keep and the planets warn if you do that now you could face a backlash later in the month from someone you’ve let down. As you’re not in their debt why make promises at all?
165,capricorn,general,"You may think you have a duty to point out to a friend where they have been going wrong but do you really? The message of the stars as the new year begins is that you would be wise to keep your opinions to yourself, at least for now."
166,aquarius,general,"You may look calm on the outside but on the inside your feelings have been swinging from one extreme to the other. Things should start to settle down when Mercury ends its retrograde phase tomorrow. In the meantime, act serene even if you don’t feel it."
167,pisces,general,"Saturn in your sign links with values planet Venus today, so you need to be on your guard when dealing with people whose outlook on life is at odds with your own. Don’t let them talk you into supporting causes you know, deep down, are not right for you."
168,capricorn,birthday,The success you have been searching for is closer than you think and if you reach out to people who have the power to make things happen this could be the year you’ve been waiting for. Believe in yourself but don’t rely entirely on your own judgment.
169,aries,general,Something you were tempted to give up on will look a lot more inviting today and you should take that as a sign to carry on with it. By this time next week the cosmic picture will have improved and your attitude will be a lot less defeatist.
