sign,category,date,text
taurus,general,december-20-2023,"When the sun moves in your favour at the end of the week it will start to feel as if the world has suddenly become a brighter place, for you at least. Creative and social activities will be under excellent stars, so start making plans and make them big!"
gemini,general,december-20-2023,"A partnership issue that got out of hand in recent weeks will resolve itself to everyone’s satisfaction over the next few days, so stop worrying about it. If others get worked up about trivial things that’s up to them but you don’t have to follow their example."
cancer,general,december-20-2023,"The fact that you lost your temper once or twice in recent weeks may actually be a good thing in that it reminded those around you, at home and at work, that you must not be taken for granted. They will surely think twice before annoying you again."
leo,general,december-20-2023,You will have your work cut out for you between now and the weekend but the more of an effort you make the more you will accomplish and the more people in positions of power will be impressed by your commitment. Hard work never hurt anyone.
virgo,general,december-20-2023,The sun moves into the most positive area of your chart on Friday and already you can feel that the cosmic winds are moving in a more favourable direction. With the universe at your back there will be no limit to what you can accomplish.
libra,general,december-20-2023,The most important thing today is that you make a conscious effort to rise above petty disputes. Let those you live and work with know that no matter how badly you may have fallen out in recent weeks you don’t harbor a grudge – and mean it.
scorpio,general,december-20-2023,Over the next few days your way with words will open doors that were previously closed and locked to you. Communication won’t always come easy but the sun’s upcoming change of signs will both clarify your thoughts and loosen your tongue.
sagittarius,general,december-20-2023,You may find it hard to keep cash in your pocket today but if you are going to spend it you might as well enjoy it. You may feel guilty when you realize how much you have splashed out on unnecessary trinkets but worry about that later on.
capricorn,general,december-20-2023,"The sun enters your sign on Friday and a brand new solar year gets under way. Are you ready for it? Have you made your plans? Think of it as your personal new year, a time to make resolutions that you have every intention of keeping this time!"
aquarius,general,december-20-2023,"Like everyone you have secrets that you would prefer not to be made public, so be careful what you say over the next 24 hours because if you drop so much as a hint someone is likely to pick up on it and start asking embarrassing questions."
pisces,general,december-20-2023,"Don’t waste time trying to get other people to see things your way – instead, get them to think for themselves and come up with their own ideas and insights. Also, you don’t have to be everyone’s moral compass – being your own is enough."
sagittarius,birthday,december-20-2023,Your self-belief will reach new heights over the coming year and if you couple it with the kind of serious aims that can make a difference in the world you will create something great. Not everyone can be special but you certainly can!
aries,general,december-21-2023,"Your choices seem to be limited at the moment but that’s okay. It may, in fact, be a good thing in that it stops you from wasting time and energy on matters that, while interesting, are of only minor significance in the wider scheme of things."
taurus,general,december-21-2023,Make sure the people you love most in the world are aware of how much you appreciate their efforts. Venus in the partnership area of your chart will make it easy for even the most tongue-tied Taurus to find just the right words of affection.
gemini,general,december-21-2023,"The next few days are going to be some of the most hectic of the year, especially if you have fallen behind in your work and need to catch up quickly. It’s not just about speed though – the quality of your work is what will bring the most praise."
cancer,general,december-21-2023,"Strive to see the bright side in each and every situation you encounter today, even if some of the people you have to deal with are glum in the extreme. Remember, it’s your attitude, not theirs, that determines what sort of day you are going to have."
leo,general,december-21-2023,"Try not to snap at someone who does not think or act as fast as you. That’s probably just about everyone, so make allowances and look for ways to bring a smile to the faces of those who seem to have forgotten how to have fun."
virgo,general,december-21-2023,"Yours is one of those signs that knows how to adapt to changing circumstances and that talent will come in handy today when the earth begins to shift beneath your feet. You’re not afraid to move with the times, which gives you a huge advantage."
libra,general,december-21-2023,"There is a good cosmic reason why you don’t feel comfortable around certain people, so listen to what your instincts are telling you and keep some distance between you today. You may be sociable by nature but you don’t have to be friends with everyone."
scorpio,general,december-21-2023,"Aim high, move fast and expect to reach whatever goal you are currently going for much sooner than anyone expected. You have all the skills you need to make a success of what you are doing, so go for it with 100 per cent conviction."
sagittarius,general,december-21-2023,"It’s not like you to get emotional about other people’s woes but a friend’s tale of doom and disaster will touch you deeply today. After you’ve shed a tear or two, dry your eyes and find practical ways to assist them – because that’s what you are good at."
capricorn,general,december-21-2023,You may have an endless supply of good ideas but how many of them are likely to move from the planning stage to the doing stage? Your task now is to identify those two or three ideas that have the potential to make you rich and famous.
aquarius,general,december-21-2023,"Try not to take criticism personally today, especially if it comes from people you look up to on the work front or in the world at large. They truly want what is best for you and do not want to see you make the same mistakes that they made."
pisces,general,december-21-2023,People who thought you were so laidback as to be almost comatose will be stunned by how quickly and confidently you act today. Whatever it is that has roused you to this level of effort you can and you must keep it going – forever if possible!
sagittarius,birthday,december-21-2023,Don’t expect the year ahead to be more of the same as the previous year because your birthday chart indicates there are some major surprises on the horizon. What seems like an unsettling event at work could turn out to be the opportunity of a lifetime.
aries,general,december-22-2023,"The sun’s change of signs today will encourage you to be more ambitious and also make you more visible to people in positions of power, so it is of the utmost importance that you show your best side. Don’t give rivals the chance to undermine your efforts."
taurus,general,december-22-2023,What occurs today and over the weekend will reignite your interest in a subject that used to mean a lot to you but which for some reason has gone off the boil of late. Your searching and wandering could be about to pay off in a very big way.
gemini,general,december-22-2023,"You must get serious about leading your best possible life and you must begin now. To start with, junk all those activities, and the people who go with them, that eat up time and energy for no good reason. You know what, and who, they are."
cancer,general,december-22-2023,Relationships will be a source of joy over the next few weeks and there will be times when you wonder what you have done to deserve so many good people in your life. Most likely they wonder exactly the same sort of thing about you!
leo,general,december-22-2023,"The whole wide world could disagree with you today and it would not worry you in the slightest. You are so sure that your way of looking at life is the right way that you won’t feel angry with those who disagree with you, just a bit sad."
virgo,general,december-22-2023,Although a hectic phase is about to begin you have what it takes to meet it head on and make it work for you. As your creative juices begin to stir you will see patterns that other people have missed. Make that work to your advantage.
libra,general,december-22-2023,"A family dispute can and must be resolved before the weekend. Most likely it is of such a minor nature that it should never have arisen in the first place, but the fact is it did and now you must bring it to a quick and happy conclusion."
scorpio,general,december-22-2023,"You may not want to be the peacemaker in some kind of dispute but you know if you don’t get involved it could rumble on for days or even weeks. Use your powers of persuasion to help others see sense but, if that fails, try knocking some heads together!"
sagittarius,general,december-22-2023,"Anyone who tries to play games with you today is going to regret it big time. You are simply not in the mood to tolerate stupid people and their stupid ideas, especially those that have no serious purpose and are unlikely to make you any serious money."
capricorn,general,december-22-2023,"You won’t care what other people think, say or do today – you will care only for words and actions that benefit you personally. That might sound selfish but the sun’s move into your sign is a cosmic invitation to put your own needs first, middle and last."
aquarius,general,december-22-2023,The message of the stars today is that you need to become more aware of both your physical and mental limits. If you push too far beyond those limits you risk damaging not only yourself but also the people you have been trying to help.
pisces,general,december-22-2023,"Activities involving groups of people who share the same values and aims are under excellent stars, so get out into the world and make a difference. You may think you have enough friends already but you are about to add thousands more to the list!"
capricorn,birthday,december-22-2023,Mercury’s influence on your birthday will encourage you to chase after your dreams but you need to be aware that not all those dreams will be good for you. Target only those objectives that you know in your heart the universe wants you to pursue.
aries,general,december-23-2023,The only thing that can hold you back is if you allow other people’s negative outlook on life to get under your skin. Anyone in your social circle who is less than positive must be kept at arm’s length this weekend – you don’t need their harmful vibes.
taurus,general,december-23-2023,"Have friends and family members been keeping things from you? Maybe. Does it matter? Not in the slightest. Ignore what everyone else may or may not be up to and focus entirely on your own needs and desires. In short, have a good time!"
gemini,general,december-23-2023,"As Mercury moves back into the partnership area of your chart this weekend it should be easier to get your point across to friends and colleagues. On the other hand, there is no guarantee they will want to hear what you have to say."
cancer,general,december-23-2023,"You don’t have to work twice as hard as colleagues and rivals to get yourself noticed by the powers that be. On the contrary, if you take your time and aim for quality work rather than quantity this weekend you are sure to make a good impression."
leo,general,december-23-2023,You have never been one to make excuses for your behaviour and you are strongly advised not to start now. The more other people try to make you feel guilty this weekend the more you must celebrate what you have done. Own it and enjoy it.
virgo,general,december-23-2023,Your nearest and dearest could be a bit miserable over the next 48 hours and if that happens there will be nothing you can say or do to snap them out of it. Let them brood on their own while you just get on with your life.
libra,general,december-23-2023,"Make sure you know all the relevant facts and figures before offering an opinion this weekend, because if you say something without being able to prove it your rivals will come down on you like the proverbial ton of bricks. Value the truth above all else."
scorpio,general,december-23-2023,"Your mind, which is usually razor-sharp, seems to be moving a touch slowly at the moment. Most likely it’s because Mercury is going through its retrograde phase, making your thoughts fuzzy and ill-defined. Give your brain cells a much-needed rest."
sagittarius,general,december-23-2023,"If you have a clear idea of what it is you are hoping to achieve then no power on earth can stop you. If, however, you cannot choose between competing goals then no power on earth will bring success. You MUST get your head together this weekend."
capricorn,general,december-23-2023,"If you find it difficult to perform this weekend you must take that as a message from the stars that you have been doing too much and are now so wired, both physically and mentally, that exhaustion is about to claim you. In a nutshell: slow down."
aquarius,general,december-23-2023,Can you believe what other people are telling you? That depends on your ability to accept viewpoints that are radically different to your own. It’s not so much whether you CAN believe what they are telling you as whether you WANT to believe.
pisces,general,december-23-2023,"As mind planet Mercury moves back into the career area of your chart this weekend you might want to look at your ambitions and ask yourself if they are as realistic as you thought they were. Give it some thought, then make the necessary adjustments."
capricorn,birthday,december-23-2023,A change of direction in your life is clearly needed but what exactly does that mean? Your birthday chart indicates that over the next few months there will be some pretty obvious clues as to what you must do. Don’t even think of trying to ignore them.
aries,general,december-25-2023,"Your ambitions may seem excessive to some but your courage and your confidence and your commitment to excellence will eventually bring the success you crave. However, having said that, remember you don’t have to push yourself hard 24 hours a day."
taurus,general,december-25-2023,You will be inspired to do something out of the ordinary today and your taste for adventure could well take you off in a completely new direction. Life is short and you are determined to make the most of each and every moment.
gemini,general,december-25-2023,"Let fate be your guide today and throughout the week. The current cosmic climate means you can have just about anything that your heart desires, but for best results don’t try too hard – allow the universe to show you the easiest way."
cancer,general,december-25-2023,"Use your powers of persuasion to get people to do things for you over the next 24 hours. In your personal life especially a little bit of understanding will go a very long way, especially when combined with a large dose of flattery!"
leo,general,december-25-2023,It is part of your nature to look at the bigger picture while letting others fret over the details but the message of the stars today is that you need to check the specifics before agreeing to get involved in something new. Don’t take trust too far.
virgo,general,december-25-2023,As one of the zodiac’s Earth signs you don’t show your feelings often but when you do you go all the way and today’s Venus-Neptune link will heighten your affections to such an extent that others may wonder what’s come over you. Maybe it’s love!
libra,general,december-25-2023,By all means indulge in a gentle daydream or two but don’t take it too far and replace facts with fantasy. Rational thinking is an absolute must if you are going to reach the goals you have set yourself between now and the early part of next year.
scorpio,general,december-25-2023,"No matter what your head tries to tell you today you must follow your heart, even if you have no idea where it is going to lead you. This may be one of those rare and wonderful occasions when your inner eye can see what your physical eyes cannot."
sagittarius,general,december-25-2023,Do a friend a good turn today but don’t go so far out of your way to help them that you risk harming your own interests in the process. Making sacrifices comes naturally to someone with your open heart but there must be limits.
capricorn,general,december-25-2023,Someone whose approval means a lot to you does not like the company you have been keeping of late but you must make it clear to them that you choose your own friendships. If your trust is misplaced then it will be on your own head.
aquarius,general,december-25-2023,"You often see things that other people miss and you will notice all sorts of strange patterns over the next 24 hours. No, you are not going mad, there really is a design behind what is going on in the world. Knowing that gives you a huge advantage."
pisces,general,december-25-2023,If the people you work or do business with say nice things about you today don’t be suspicious – the planets indicate that they really do think you are doing a good job. Now aim even higher and strive to turn that good job into a great job!
capricorn,birthday,december-25-2023,"Venus, planet of personal love, and Neptune, planet of universal love, join forces on your birthday and could well change the way you look at life. If you can move away from labelling people as either “good” or “bad” your world will be a better place for it."
aries,general,december-26-2023,"Be smart and slow things down a bit today. The phrase “more haste, less speed” is tailor-made for your situation at the moment in that you seem to be buzzing here, there and everywhere without actually getting much done. Move less, accomplish more."
taurus,general,december-26-2023,It is actually in your interests that you are being denied the one thing you want more than anything else. Looking back in a few days time you will realize that on this occasion a little of what you fancy could have done you a great deal of harm.
gemini,general,december-26-2023,"A dispute over money will come to a head over the next two or three days and although it may not be a pleasant experience it will at least clear the air so you can start making plans again. This time, make them plans that involve other people."
cancer,general,december-26-2023,Tomorrow’s full moon in your sign will ramp up your emotions to such an extent that it may be impossible to control your feelings. But if what is going on in the world affects you this deeply why would you want to control them? Let it all out!
leo,general,december-26-2023,"Be wary if someone comes to you with a proposal they say can make you a fortune. It may indeed be a money-maker but chances are they will be making the money while you are the one who is handing it out. You’re not that gullible, are you?"
virgo,general,december-26-2023,"You need to believe there is a purpose to your existence and what occurs between now and the end of the year should clue you in to what that might be. Keep your eyes and ears open but, more importantly, listen to what your heart is saying."
libra,general,december-26-2023,Someone in a position of authority could give you a hard time over the next few days but if you stay calm and refuse to get angry about it there is not much they can do to actually harm you. Rise above petty conflicts on the work front.
scorpio,general,december-26-2023,Take care if you are on the move over the next 24 hours. Your travels may be a lot of fun but there is a danger that you could take a wrong turning and end up some place that isn’t safe. Always make sure you know where you are.
sagittarius,general,december-26-2023,"Deal with challenges as and when they arise and don’t waste your time trying to look too far ahead. Whatever difficult events you may be confronted with the fact is you have been through many similar situations, so use that experience to get past them."
capricorn,general,december-26-2023,If a relationship has been going through a tough time of late the approaching full moon will help you do something about it. That does not mean the differences between you will be resolved but it will certainly be easier to find some common ground.
aquarius,general,december-26-2023,Because tomorrow’s full moon occurs in the well-being area of your chart you must not force yourself to do things that could deplete your energy too much. You may not want to say “no” to friends and family members but on this occasion you must.
pisces,general,december-26-2023,Something of a creative nature may be going well for you but you still have this nagging idea that it could all fall apart at any moment. Don’t worry. Once the influence of the full moon fades at the end of the week your doubts will completely disappear.
capricorn,birthday,december-26-2023,"Don’t be afraid to use your imagination over the coming year, both in your personal affairs and in your career. Your birthday chart promises that the visions you allow yourself to have now will become your reality in the very near future. Believe in yourself."
aries,general,december-27-2023,"Don’t get angry with someone who fails at the task you have set them. Not everyone can be as committed to the pursuit of excellence as you are, so make allowances and don’t expect as much of them as you expect of yourself. They’ll do better next time."
taurus,general,december-27-2023,Get out into the world and enjoy yourself today. Others may say you should be focusing on a serious situation but as far as you are concerned it can wait. This is a time for having fun with people who share your positive outlook on life.
gemini,general,december-27-2023,You need to make sure that at least some of what you have given other people of late comes back to you before the end of the year. It’s unlikely that it will all be returned but if you don’t make a fuss you may get nothing at all.
cancer,general,december-27-2023,Today’s full moon warns you may be inclined to start something new without having planned how you are going to get from where you are now to where you most want to be. Desire alone will not be enough – you must think ahead if you want to succeed.
leo,general,december-27-2023,It is of the utmost importance that you limit yourself to those two or three tasks that are of most importance to you. The more projects you have on the go the less likely it is you will get the kind of return on your investment that you desire.
virgo,general,december-27-2023,"Friends and loved ones will be extremely demanding over the next 24 hours, so you must be clear in your mind what limits you will have to impose so they don’t exhaust both your money and your energy. Above all, don’t be afraid to say “no”."
libra,general,december-27-2023,"Because today’s full moon cuts across the career and domestic angles of your chart you may have to make a tough decision about how best to divide your time between your work and your family. If in doubt, spend more time with the people you love."
scorpio,general,december-27-2023,"The more others criticize your efforts the more certain you can be that you are doing the right thing and must keep doing it into the future. They are only being negative because they fear your efforts could make them look bad – and they’re right, they will!"
sagittarius,general,december-27-2023,The message of the stars today is that no matter how many things seem to be going wrong for you now you must not let your fears get the better of you. Later on you will look back and realize there was actually precious little to worry about.
capricorn,general,december-27-2023,"The full moon in your opposite sign means you need to take the concerns of loved ones more seriously than you have done in recent weeks. It could be the case that they can see and sense things that you as yet cannot, so listen to what they say."
aquarius,general,december-27-2023,"Follow your instincts today, even if it puts you on a collision course with employers and colleagues. You may be the sort of person who prefers to rely more on logic than feelings but this is one of those occasions when your feelings could be right!"
pisces,general,december-27-2023,"Today’s full moon suggests you could be having second thoughts about an artistic activity you once had high hopes for. If you give up on it now though you are sure to regret it later on, so keep at it and keep believing a breakthrough will come."
capricorn,birthday,december-27-2023,"You will be dealing with some powerful emotions this year, both your own and other people’s, and it is of the utmost importance that you stay calm and act as if you are not in the least bit concerned. Only by thinking clearly will you make the right decisions."
aries,general,december-28-2023,"If you take what you are told at face value today you could end up looking silly, so question everything and don’t be afraid to let others know when you don’t believe them. What they say may sound convincing but that does not make it true."
taurus,general,december-28-2023,Forced changes in your working routine may be a pain to deal with between now and the weekend but what choice do you have? The powers that be have decreed what is going to happen and all you can do is find ways to make it work for you.
gemini,general,december-28-2023,"Mercury links with Mars in your opposite sign today, which suggests that someone you live, work or do business with is going to give you a hard time. The good news is that their bark is ten times worse than their bite, so don’t be intimidated."
cancer,general,december-28-2023,If you can balance your intuitive powers with a large dose of common sense you should be able to get through the day unscathed. Stick to the facts in all situations and don’t ever be tempted to say what you think other people want to hear.
leo,general,december-28-2023,"It’s not like you to let fear run away with you but the cosmic picture warns that once you start seeing bad guys in the shadows they will seem to be everywhere. No one is out to get you, so calm down and ignore what others are doing."
virgo,general,december-28-2023,If a friend gets the idea that you no longer value their company they may decide to look elsewhere for the support and affection they need. Go out of your way over the next 24 hours to let them know you care – and make sure you mean it.
libra,general,december-28-2023,Yesterday’s full moon in the career area of your chart made it clear that you need to exert yourself more if you are to reach the heights of success that you crave. Follow your passion wherever it takes you and never give less than 100 per cent.
scorpio,general,december-28-2023,You know what it is you want to say but as communications planet Mercury is going through its retrograde phase the words may not come easy to you. No matter. As a master of body language you can still find ways to put your ideas across.
sagittarius,general,december-28-2023,"Today’s Mars-Mercury link in your sign warns you need to be very careful before making claims or accusations that, if they turn out to be wrong, could come back at you in costly ways. Keep your suspicions to yourself, at least for now."
capricorn,general,december-28-2023,"If you find it too easy to persuade others to support your ideas today you must stop, stand back from the situation and work out why they are suddenly being so agreeable. Could it be they are saying one thing while planning another? Yes, it could!"
aquarius,general,december-28-2023,"Something that has been holding you back won’t be such an obstacle in your life over the next few days, and early in the new year it will cease to be a problem at all. Just be careful you don’t then replace one bad habit with another."
pisces,general,december-28-2023,If you poke fun at someone in a position of power today they may seem to laugh with you but secretly they will be marking a big red cross against your name. They take themselves ultra seriously and you would be smart to take them seriously too.
capricorn,birthday,december-28-2023,Cosmic activity in the most imaginative area of your birthday chart is favourable for all kinds of creative activities but don’t stick your head so far up in the air that you lose contact with the ground. The higher you fly the further there is to fall.
aries,general,december-29-2023,"If friends and family members are content to sit around all day doing nothing that’s up to them but you are determined to make more of your life, starting today. You won’t have to search too long or too hard to find a new adventure. Go for it."
taurus,general,december-29-2023,Something you have been trying to keep to yourself will become public knowledge today and when it does you must be honest about what it is and act as if you want everyone to know. It won’t be so embarrassing if you openly own it.
gemini,general,december-29-2023,"As love planet Venus moves into the partnership area of your chart today you won’t lack for romantic opportunities. However, if you come on too strong you could scare away those of a more sensitive disposition, so stay in control of your physical and emotional desires."
cancer,general,december-29-2023,"According to the planets you are worrying yourself sick about something that is not worth the time or the effort, so get over it and get on with your life. You are advised not to take anything too seriously today or over the weekend."
leo,general,december-29-2023,"Venus and Mars in the most romantic area of your chart means affairs of the heart will be a lot of fun, but don’t get carried away and promise loved ones things you won’t be able to deliver. They don’t want the world from you – you are their world!"
virgo,general,december-29-2023,Spend some quality time with your nearest and dearest today. You may be tempted to get out and about and show the world what you are capable of but in the long-term you will gain more by taking care of the people you are closest to emotionally.
libra,general,december-29-2023,Cosmic activity in the most sociable area of your chart means you are in the mood for new creative experiences and you won’t have long to wait. A new romantic hook-up is a possibility too but don’t let it distract you from having fun with your friends.
scorpio,general,december-29-2023,Nothing in life comes for free and if you keep that fact in mind today you won’t fall into the trap of expecting friends and relatives to satisfy your every need. The things you achieve for yourself are the things that make you a better and happier person.
sagittarius,general,december-29-2023,"Venus, planet of harmony, joins Mars in your sign today, so even if you are the kind of Sag who likes to take life by the scruff of the neck and shake it into submission you can and you must find softer ways to realize your ambitions."
capricorn,general,december-29-2023,"Once you have made up your mind about something you rarely change your point of view, but try not to be so inflexible today. If the powers that be want you to approach a difficult task from a different angle that is precisely what you must do."
aquarius,general,december-29-2023,You may want to forgive a friend for yet another failure but you know you can’t go on giving them chance after chance. Let them know in no uncertain terms that the next foul-up will be their last. They’ve had more than enough warnings already.
pisces,general,december-29-2023,If you go all out to impress employers and other important people today and over the weekend you could find yourself moving up in the world very soon. Your ability to blend purpose and persistence with real sensitivity marks you out from the crowd.
capricorn,birthday,december-29-2023,"Don’t worry too much if your ideas seem at odds with the worldview of family and friends over the coming 12 months. There is no right way or wrong way of dealing with the challenges that life throws up, just the way that works best for you."
aries,general,december-30-2023,"Have you been making the most of your talents? Whatever triumphs you enjoyed during the year now ending you would be the first to admit you could have done more – so make your plans, make them big and then amaze the world with your hunger for success."
taurus,general,december-30-2023,"You may not be able to work up much enthusiasm for what you have to work on this weekend but if you do it to the best of your abilities the rewards that come your way early in 2024 will please you no end, so make the effort."
gemini,general,december-30-2023,"The message of the stars for the last weekend of the year is that you are allowed to relax – in fact the universe is demanding that you slow down and enjoy the “moments”. Take your foot off the gas and ease up a bit, at least for now."
cancer,general,december-30-2023,"You can be quite vulnerable to criticism and a negative comment from a friend could send you into an emotional tailspin this weekend. That isn’t the best way to end the year, so toughen up, believe in yourself and ignore what other people say about you."
leo,general,december-30-2023,You seem to have got it into your head that some of the people you work alongside have been plotting against you but that simply isn’t true. Just because they are competitive doesn’t mean they are out to get you. Maybe they look at you the same way.
virgo,general,december-30-2023,"Stop trying to control each and every aspect of your life and allow events to guide you in the direction the universe wants you to go. Your life is unfolding according to the grand cosmic design, so why try so hard when you don’t have to?"
libra,general,december-30-2023,"The softer, gentler side of your nature will be on show over the next 48 hours and you will assist those in need with no questions asked. Doing good things for other people will make you feel good too, not just about yourself but about life in general."
scorpio,general,december-30-2023,As Jupiter ends its retrograde phase in the partnership area of your chart this weekend you will find it easier to trust people both at home and at work. If someone approaches you with a proposal you must hear them out. It could change your life.
sagittarius,general,december-30-2023,"Keep routine tasks to a minimum this weekend because the more of an effort you make the less you are likely to accomplish. Instead, see out the year with family and friends and celebrate all the good times you had together in 2023."
capricorn,general,december-30-2023,"You seem to be in an unusually forgiving mood at the moment, most likely because it’s the end of the year and you cannot be bothered to make a big deal of anything. Just don’t let your guard down so much that others might be tempted to cheat you."
aquarius,general,december-30-2023,You will be remarkably open to alternative viewpoints this weekend – which isn’t like you at all – and one of those viewpoints could get you thinking in new and potentially profitable directions. It’s almost like you are seeing with a new pair of eyes.
pisces,general,december-30-2023,"What happens this weekend will bring the old year to a satisfying close and set you up for an amazing start to 2024. Never doubt that the universe is on your side and never doubt that your life is, was and always will be on an upward curve."
capricorn,birthday,december-30-2023,Take time out on your birthday to look back over the previous 12 months and assess how far you have come. You may be only one year older but you are wise beyond your years when it comes to understanding life and making the most of it.
aries,general,january-1-2024,You may not be swayed much by money and material possessions but you will need to pay attention to what you own and earn during the early part of 2024. Keep an eye on your cash-flow situation because there is only so much you can afford to lose.
taurus,general,january-1-2024,"If you enjoy what you are working on then you will inevitably do it well, but the planets warn if you are bored by everyday tasks your standards may slip below 100 per cent and that won’t do at all. Maybe it’s time to think about changing your job."
gemini,general,january-1-2024,"You may be eager to show the world what you can do but if you are smart you will wait until your ruling planet Mercury ends its retrograde phase tomorrow before making your move. Better still, wait until the end of the week. There’s no rush."
cancer,general,january-1-2024,You seem to be in one of those moods when you hear what you want to hear and see what you want to see while ignoring everything else. Hopefully that mood will pass soon because you will need to act quickly and decisively as 2024 gets underway.
leo,general,january-1-2024,The message of the stars as the new year begins is that the more time you spend thinking and planning now the more successful you will be later on when opportunities to prove yourself start coming your way. Take a more long-term view of your ambitions.
virgo,general,january-1-2024,"With Venus, planet of love, at odds with Saturn which is in the partnership area of your chart you would be wise to tread carefully when dealing with people whose egos are easily bruised. Not everyone is as candid as you, so make allowances for more sensitive souls."
